q2_rad,q3_rad,manipulability,det_j
-1.308997,-0.261799,0.00474304,-0.00474304
-1.308997,0.000000,0.00000000,-0.00000000
-1.308997,0.261799,0.01535037,0.01535037
-1.308997,0.523599,0.03814262,0.03814262
-1.308997,0.785398,0.06315267,0.06315267
-1.308997,1.047198,0.08443741,0.08443741
-1.308997,1.308997,0.09687549,0.09687549
-1.308997,1.570796,0.09749992,0.09749992
-1.308997,1.832596,0.08626815,0.08626815
-1.308997,2.094395,0.06606496,0.06606496
-1.308997,2.356194,0.04193800,0.04193800
-1.308997,2.617994,0.01977018,0.01977018
-1.308997,2.879793,0.00474304,0.00474304
-1.308997,3.141593,0.00000000,-0.00000000
-1.156281,-3.141593,0.00000000,0.00000000
-1.156281,-2.879793,0.00589815,0.00589815
-1.156281,-2.617994,0.01879276,0.01879276
-1.156281,-2.356194,0.03385457,0.03385457
-1.156281,-2.094395,0.04586777,0.04586777
-1.156281,-1.832596,0.05070796,0.05070796
-1.156281,-1.570796,0.04650904,0.04650904
-1.156281,-1.308997,0.03420195,0.03420195
-1.156281,-1.047198,0.01727852,0.01727852
-1.156281,-0.785398,0.00084255,0.00084255
-1.156281,-0.523599,0.00979648,-0.00979648
-1.156281,-0.261799,0.01060786,-0.01060786
-1.156281,0.000000,0.00000000,0.00000000
-1.156281,0.261799,0.02065937,0.02065937
-1.156281,0.523599,0.04730924,0.04730924
-1.156281,0.785398,0.07418296,0.07418296
-1.156281,1.047198,0.09525976,0.09525976
-1.156281,1.308997,0.10579757,0.10579757
-1.156281,1.570796,0.10354200,0.10354200
-1.156281,1.832596,0.08929156,0.08929156
-1.156281,2.094395,0.06667051,0.06667051
-1.156281,2.356194,0.04117095,0.04117095
-1.156281,2.617994,0.01872000,0.01872000
-1.156281,2.879793,0.00415336,0.00415336
-1.156281,3.141593,0.00000000,-0.00000000
-1.003564,-3.141593,0.00000000,0.00000000
-1.003564,-2.879793,0.00579472,0.00579472
-1.003564,-2.617994,0.01733115,0.01733115
-1.003564,-2.356194,0.02968487,0.02968487
-1.003564,-2.094395,0.03797148,0.03797148
-1.003564,-1.832596,0.03876261,0.03876261
-1.003564,-1.570796,0.03108694,0.03108694
-1.003564,-1.308997,0.01674214,0.01674214
-1.003564,-1.047198,0.00016910,-0.00016910
-1.003564,-0.785398,0.01435607,-0.01435607
-1.003564,-0.523599,0.02080943,-0.02080943
-1.003564,-0.261799,0.01622576,-0.01622576
-1.003564,0.000000,0.00000000,-0.00000000
-1.003564,0.261799,0.02548748,0.02548748
-1.003564,0.523599,0.05537465,0.05537465
-1.003564,0.785398,0.08348651,0.08348651
-1.003564,1.047198,0.10386475,0.10386475
-1.003564,1.308997,0.11225701,0.11225701
-1.003564,1.570796,0.10717393,0.10717393
-1.003564,1.832596,0.09023654,0.09023654
-1.003564,2.094395,0.06572417,0.06572417
-1.003564,2.356194,0.03944556,0.03944556
-1.003564,2.617994,0.01723407,0.01723407
-1.003564,2.879793,0.00346701,0.00346701
-1.003564,3.141593,0.00000000,-0.00000000
-0.850848,-3.141593,0.00000000,0.00000000
-0.850848,-2.879793,0.00555639,0.00555639
-0.850848,-2.617994,0.01546612,0.01546612
-0.850848,-2.356194,0.02482420,0.02482420
-0.850848,-2.094395,0.02919133,0.02919133
-0.850848,-1.832596,0.02591499,0.02591499
-0.850848,-1.570796,0.01494122,0.01494122
-0.850848,-1.308997,0.00110738,-0.00110738
-0.850848,-1.047198,0.01761278,-0.01761278
-0.850848,-0.785398,0.02922053,-0.02922053
-0.850848,-0.523599,0.03133799,-0.03133799
-0.850848,-0.261799,0.02146597,-0.02146597
-0.850848,0.000000,0.00000000,-0.00000000
-0.850848,0.261799,0.02972232,0.02972232
-0.850848,0.523599,0.06215110,0.06215110
-0.850848,0.785398,0.09084673,0.09084673
-0.850848,1.047198,0.11005209,0.11005209
-0.850848,1.308997,0.11610344,0.11610344
-0.850848,1.570796,0.10831118,0.10831118
-0.850848,1.832596,0.08908108,0.08908108
-0.850848,2.094395,0.06324798,0.06324798
-0.850848,2.356194,0.03680200,0.03680200
-0.850848,2.617994,0.01534699,0.01534699
-0.850848,2.879793,0.00269995,0.00269995
-0.850848,3.141593,0.00000000,-0.00000000
-0.698132,-3.141593,0.00000000,0.00000000
-0.698132,-2.879793,0.00518874,0.00518874
-0.698132,-2.617994,0.01324108,0.01324108
-0.698132,-2.356194,0.01938570,0.01938570
-0.698132,-2.094395,0.01973169,0.01973169
-0.698132,-1.832596,0.01246414,0.01246414
-0.698132,-1.570796,0.00155228,-0.00155228
-0.698132,-1.308997,0.01893112,-0.01893112
-0.698132,-1.047198,0.03464649,-0.03464649
-0.698132,-0.785398,0.04340482,-0.04340482
-0.698132,-0.523599,0.04113711,-0.04113711
-0.698132,-0.261799,0.02620652,-0.02620652
-0.698132,0.000000,0.00000000,0.00000000
-0.698132,0.261799,0.03326531,0.03326531
-0.698132,0.523599,0.06748086,0.06748086
-0.698132,0.785398,0.09609232,0.09609232
-0.698132,1.047198,0.11367774,0.11367774
-0.698132,1.308997,0.11724734,0.11724734
-0.698132,1.570796,0.10692728,0.10692728
-0.698132,1.832596,0.08585208,0.08585208
-0.698132,2.094395,0.05929956,0.05929956
-0.698132,2.356194,0.03330181,0.03330181
-0.698132,2.617994,0.01310267,0.01310267
-0.698132,2.879793,0.00187005,0.00187005
-0.698132,3.141593,0.00000000,-0.00000000
-0.545415,-3.141593,0.00000000,0.00000000
-0.545415,-2.879793,0.00470030,0.00470030
-0.545415,-2.617994,0.01070783,0.01070783
-0.545415,-2.356194,0.01349595,0.01349595
-0.545415,-2.094395,0.00981276,0.00981276
-0.545415,-1.832596,0.00127684,-0.00127684
-0.545415,-1.570796,0.01800964,-0.01800964
-0.545415,-1.308997,0.03631421,-0.03631421
-0.545415,-1.047198,0.05087374,-0.05087374
-0.545415,-0.785398,0.05657878,-0.05657878
-0.545415,-0.523599,0.04997867,-0.04997867
-0.545415,-0.261799,0.03033707,-0.03033707
-0.545415,0.000000,0.00000000,-0.00000000
-0.545415,0.261799,0.03603399,0.03603399
-0.545415,0.523599,0.07123986,0.07123986
-0.545415,0.785398,0.09910117,0.09910117
-0.545415,1.047198,0.11465732,0.11465732
-0.545415,1.308997,0.11566207,0.11566207
-0.545415,1.570796,0.10305443,0.10305443
-0.545415,1.832596,0.08062470,0.08062470
-0.545415,2.094395,0.05397082,0.05397082
-0.545415,2.356194,0.02902644,0.02902644
-0.545415,2.617994,0.01055337,0.01055337
-0.545415,2.879793,0.00099662,0.00099662
-0.545415,3.141593,0.00000000,-0.00000000
-0.392699,-3.141593,0.00000000,0.00000000
-0.392699,-2.879793,0.00410245,0.00410245
-0.392699,-2.617994,0.00792533,0.00792533
-0.392699,-2.356194,0.00729206,0.00729206
-0.392699,-2.094395,0.00033458,-0.00033458
-0.392699,-1.832596,0.01498810,-0.01498810
-0.392699,-1.570796,0.03404780,-0.03404780
-0.392699,-1.308997,0.05285201,-0.05285201
-0.392699,-1.047198,0.06591679,-0.06591679
-0.392699,-0.785398,0.06843576,-0.06843576
-0.392699,-0.523599,0.05765688,-0.05765688
-0.392699,-0.261799,0.03376145,-0.03376145
-0.392699,0.000000,0.00000000,0.00000000
-0.392699,0.261799,0.03796390,0.03796390
-0.392699,0.523599,0.07334062,0.07334062
-0.392699,0.785398,0.09980325,0.09980325
-0.392699,1.047198,0.11296803,0.11296803
-0.392699,1.308997,0.11138454,0.11138454
-0.392699,1.570796,0.09678278,0.09678278
-0.392699,1.832596,0.07352063,0.07352063
-0.392699,2.094395,0.04738581,0.04738581
-0.392699,2.356194,0.02407543,0.02407543
-0.392699,2.617994,0.00775841,0.00775841
-0.392699,2.879793,0.00009999,0.00009999
-0.392699,3.141593,0.00000000,-0.00000000
-0.239983,-3.141593,0.00000000,0.00000000
-0.239983,-2.879793,0.00340912,0.00340912
-0.239983,-2.617994,0.00495836,0.00495836
-0.239983,-2.356194,0.00091843,0.00091843
-0.239983,-2.094395,0.01047413,-0.01047413
-0.239983,-1.832596,0.02835048,-0.02835048
-0.239983,-1.570796,0.04929343,-0.04929343
-0.239983,-1.308997,0.06815957,-0.06815957
-0.239983,-1.047198,0.07942551,-0.07942551
-0.239983,-0.785398,0.07869976,-0.07869976
-0.239983,-0.523599,0.06399301,-0.06399301
-0.239983,-0.261799,0.03639998,-0.03639998
-0.239983,0.000000,0.00000000,-0.00000000
-0.239983,0.261799,0.03901013,0.03901013
-0.239983,0.523599,0.07373424,0.07373424
-0.239983,0.785398,0.09818221,0.09818221
-0.239983,1.047198,0.10864918,0.10864918
-0.239983,1.308997,0.10451431,0.10451431
-0.239983,1.570796,0.08825832,0.08825832
-0.239983,1.832596,0.06470522,0.06470522
-0.239983,2.094395,0.03969780,0.03969780
-0.239983,2.356194,0.01856402,0.01856402
-0.239983,2.617994,0.00478286,0.00478286
-0.239983,2.879793,0.00079896,-0.00079896
-0.239983,3.141593,0.00000000,-0.00000000
-0.087266,-3.141593,0.00000000,0.00000000
-0.087266,-2.879793,0.00263643,0.00263643
-0.087266,-2.617994,0.00187597,0.00187597
-0.087266,-2.356194,0.00547658,-0.00547658
-0.087266,-2.094395,0.02036988,-0.02036988
-0.087266,-1.832596,0.04105294,-0.04105294
-0.087266,-1.570796,0.06339165,-0.06339165
-0.087266,-1.308997,0.08188059,-0.08188059
-0.087266,-1.047198,0.09108544,-0.09108544
-0.087266,-0.785398,0.08713187,-0.08713187
-0.087266,-0.523599,0.06883958,-0.06883958
-0.087266,-0.261799,0.03819122,-0.03819122
-0.087266,0.000000,0.00000000,0.00000000
-0.087266,0.261799,0.03914832,0.03914832
-0.087266,0.523599,0.07241154,0.07241154
-0.087266,0.785398,0.09427578,0.09427578
-0.087266,1.047198,0.10180130,0.10180130
-0.087266,1.308997,0.09521131,0.09521131
-0.087266,1.570796,0.07767948,0.07767948
-0.087266,1.832596,0.05438366,0.05438366
-0.087266,2.094395,0.03108575,0.03108575
-0.087266,2.356194,0.01262049,0.01262049
-0.087266,2.617994,0.00169598,0.00169598
-0.087266,2.879793,0.00167932,-0.00167932
-0.087266,3.141593,0.00000000,-0.00000000
0.065450,-3.141593,0.00000000,0.00000000
0.065450,-2.879793,0.00180237,0.00180237
0.065450,-2.617994,0.00125008,-0.00125008
0.065450,-2.356194,0.01174410,-0.01174410
0.065450,-2.094395,0.02979148,-0.02979148
0.065450,-1.832596,0.05279982,-0.05279982
0.065450,-1.570796,0.07601431,-0.07601431
0.065450,-1.308997,0.09369567,-0.09369567
0.065450,-1.047198,0.10062517,-0.10062517
0.065450,-0.785398,0.09353581,-0.09353581
0.065450,-0.523599,0.07208377,-0.07208377
0.065450,-0.261799,0.03909348,-0.03909348
0.065450,0.000000,0.00000000,0.00000000
0.065450,0.261799,0.03837526,0.03837526
0.065450,0.523599,0.06940332,0.06940332
0.065450,0.785398,0.08817489,0.08817489
0.065450,1.047198,0.09258380,0.09258380
0.065450,1.308997,0.08369207,0.08369207
0.065450,1.570796,0.06529249,0.06529249
0.065450,1.832596,0.04279622,0.04279622
0.065450,2.094395,0.02175011,0.02175011
0.065450,2.356194,0.00638319,0.00638319
0.065450,2.617994,0.00143037,-0.00143037
0.065450,2.879793,0.00252059,-0.00252059
0.065450,3.141593,0.00000000,-0.00000000
0.218166,-3.141593,0.00000000,0.00000000
0.218166,-2.879793,0.00092635,0.00092635
0.218166,-2.617994,0.00434704,-0.00434704
0.218166,-2.356194,0.01773826,-0.01773826
0.218166,-2.094395,0.03851962,-0.03851962
0.218166,-1.832596,0.06331767,-0.06331767
0.218166,-1.570796,0.08686759,-0.08686759
0.218166,-1.308997,0.10332980,-0.10332980
0.218166,-1.047198,0.10782265,-0.10782265
0.218166,-0.785398,0.09776251,-0.09776251
0.218166,-0.523599,0.07365007,-0.07365007
0.218166,-0.261799,0.03908577,-0.03908577
0.218166,0.000000,0.00000000,0.00000000
0.218166,0.261799,0.03670893,0.03670893
0.218166,0.523599,0.06477960,0.06477960
0.218166,0.785398,0.08002157,0.08002157
0.218166,1.047198,0.08121123,0.08121123
0.218166,1.308997,0.07022474,0.07022474
0.218166,1.570796,0.05138569,0.05138569
0.218166,1.832596,0.03021261,0.03021261
0.218166,2.094395,0.01190820,0.01190820
0.218166,2.356194,0.00000268,-0.00000268
0.218166,2.617994,0.00452343,-0.00452343
0.218166,2.879793,0.00330319,-0.00330319
0.218166,3.141593,0.00000000,-0.00000000
0.370882,-3.141593,0.00000000,0.00000000
0.370882,-2.879793,0.00002878,0.00002878
0.370882,-2.617994,0.00734281,-0.00734281
0.370882,-2.356194,0.02331953,-0.02331953
0.370882,-2.094395,0.04635114,-0.04635114
0.370882,-1.832596,0.07236169,-0.07236169
0.370882,-1.570796,0.09569885,-0.09569885
0.370882,-1.308997,0.11055872,-0.11055872
0.370882,-1.047198,0.11251035,-0.11251035
0.370882,-0.785398,0.09971361,-0.09971361
0.370882,-0.523599,0.07350202,-0.07350202
0.370882,-0.261799,0.03816826,-0.03816826
0.370882,0.000000,0.00000000,0.00000000
0.370882,0.261799,0.03418814,0.03418814
0.370882,0.523599,0.05864801,0.05864801
0.370882,0.785398,0.07000558,0.07000558
0.370882,1.047198,0.06794831,0.06794831
0.370882,1.308997,0.05512278,0.05512278
0.370882,1.570796,0.03628279,0.03628279
0.370882,1.832596,0.01692575,0.01692575
0.370882,2.094395,0.00178910,0.00178910
0.370882,2.356194,0.00638850,-0.00638850
0.370882,2.617994,0.00751120,-0.00751120
0.370882,2.879793,0.00400890,-0.00400890
0.370882,3.141593,0.00000000,-0.00000000
0.523599,-3.141593,0.00000000,0.00000000
0.523599,-2.879793,0.00086947,-0.00086947
0.523599,-2.617994,0.01016766,-0.01016766
0.523599,-2.356194,0.02835799,-0.02835799
0.523599,-2.094395,0.05310375,-0.05310375
0.523599,-1.832596,0.07972134,-0.07972134
0.523599,-1.570796,0.10230253,-0.10230253
0.523599,-1.308997,0.11521418,-0.11521418
0.523599,-1.047198,0.11457915,-0.11457915
0.523599,-0.785398,0.09934367,-0.09934367
0.523599,-0.523599,0.07164306,-0.07164306
0.523599,-0.261799,0.03636231,-0.03636231
0.523599,0.000000,0.00000000,-0.00000000
0.523599,0.261799,0.03087155,0.03087155
0.523599,0.523599,0.05115126,0.05115126
0.523599,0.785398,0.05836007,0.05836007
0.523599,1.047198,0.05310375,0.05310375
0.523599,1.308997,0.03873774,0.03873774
0.523599,1.570796,0.02033533,0.02033533
0.523599,1.832596,0.00324490,0.00324490
0.523599,2.094395,0.00837165,-0.00837165
0.523599,2.356194,0.01262561,-0.01262561
0.523599,2.617994,0.01032414,-0.01032414
0.523599,2.879793,0.00462129,-0.00462129
0.523599,3.141593,0.00000000,-0.00000000
